,B02001_001E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,B02013_001E,B03001_002E,B03001_003E,zipcode
"ZCTA5 10302: Summary level: unknown, state:36> zip code tabulation area:10302",18037,10957,4230,320,1805,40,1277,11017,7020,10302
"ZCTA5 10303: Summary level: unknown, state:36> zip code tabulation area:10303",27401,13490,10012,243,2378,38,2320,16595,10806,10303
"ZCTA5 10304: Summary level: unknown, state:36> zip code tabulation area:10304",41112,21538,12303,185,4715,48,3082,31459,9653,10304
"ZCTA5 10305: Summary level: unknown, state:36> zip code tabulation area:10305",42726,31184,3624,321,6888,18,1756,35904,6822,10305
"ZCTA5 10306: Summary level: unknown, state:36> zip code tabulation area:10306",53877,46576,2795,265,4459,0,1739,45476,8401,10306
"ZCTA5 10307: Summary level: unknown, state:36> zip code tabulation area:10307",14906,13749,63,94,751,0,396,13412,1494,10307
"ZCTA5 10308: Summary level: unknown, state:36> zip code tabulation area:10308",29512,27465,449,27,1504,0,221,26948,2564,10308
"ZCTA5 10309: Summary level: unknown, state:36> zip code tabulation area:10309",34058,32039,284,267,1234,0,595,30760,3298,10309
"ZCTA5 10310: Summary level: unknown, state:36> zip code tabulation area:10310",23800,14971,5568,231,1547,24,2417,16405,7395,10310
"ZCTA5 10311: Summary level: unknown, state:36> zip code tabulation area:10311",0,0,0,0,0,0,0,0,0,10311
"ZCTA5 10312: Summary level: unknown, state:36> zip code tabulation area:10312",61392,56850,777,163,3687,63,540,54431,6961,10312
"ZCTA5 10314: Summary level: unknown, state:36> zip code tabulation area:10314",89792,67640,4029,419,16596,170,3426,76088,13704,10314
